2007-01-31 06:00:00,EUR,Low Impact Expected,Unemployment Rate,7.5%,7.6%,7.6%
2007-01-31 06:30:00,CHF,Medium Impact Expected,KOF Economic Barometer,1.71,1.55,1.75
2007-01-31 06:30:00,GBP,Low Impact Expected,GfK Consumer Confidence,-7,-8,-8
2007-01-31 09:15:00,USD,Medium Impact Expected,ADP Non-Farm Employment Change,152K,135K,147K
2007-01-31 09:30:00,CAD,High Impact Expected,GDP m/m,0.2%,0.3%,0.0%
2007-01-31 09:30:00,USD,High Impact Expected,Advance GDP q/q,3.5%,3.0%,2.0%
2007-01-31 09:30:00,USD,Medium Impact Expected,Advance GDP Price Index q/q,1.5%,1.7%,1.9%
2007-01-31 09:30:00,USD,Medium Impact Expected,Employment Cost Index q/q,0.8%,1.0%,1.0%
2007-01-31 10:45:00,USD,Medium Impact Expected,Chicago PMI,48.8,52.0,52.4
2007-01-31 11:00:00,USD,Low Impact Expected,Construction Spending m/m,-0.4%,-0.1%,0.1%
2007-01-31 11:30:00,USD,Low Impact Expected,Crude Oil Inventories,2.7M,1.4M,0.7M
2007-01-31 15:15:00,USD,High Impact Expected,FOMC Statement,,,
2007-01-31 15:15:00,USD,High Impact Expected,Federal Funds Rate,5.25%,5.25%,5.25%
2007-01-31 18:30:00,AUD,Low Impact Expected,AIG Manufacturing Index,51.3,,52.4
2007-01-31 21:00:00,CNY,High Impact Expected,Manufacturing PMI,55.1,,54.8
2007-01-31 22:30:00,CNY,Medium Impact Expected,Caixin Manufacturing PMI,52.0,,52.4
2007-01-31 23:45:00,JPY,Low Impact Expected,10-y Bond Auction,1.70|2.8,,1.73|2.5
2007-02-01 01:30:00,AUD,Medium Impact Expected,Commodity Prices y/y,10.1%,,11.2%
2007-02-01 03:15:00,CHF,Medium Impact Expected,Trade Balance,0.43B,1.00B,1.23B
2007-02-01 04:15:00,EUR,Low Impact Expected,Spanish Manufacturing PMI,56.2,,57.2
2007-02-01 04:30:00,CHF,Medium Impact Expected,Manufacturing PMI,62.0,64.7,65.0
2007-02-01 04:45:00,EUR,Low Impact Expected,Italian Manufacturing PMI,53.5,54.6,55.0
2007-02-01 05:00:00,EUR,Medium Impact Expected,Final Manufacturing PMI,55.5,56.3,56.5
2007-02-01 05:30:00,GBP,Medium Impact Expected,Manufacturing PMI,52.8,51.9,52.0
2007-02-01 06:00:00,EUR,Low Impact Expected,French 10-y Bond Auction,4.12|2.8,,3.97|2.4
2007-02-01 08:30:00,USD,Low Impact Expected,Challenger Job Cuts y/y,-39.1%,,-49.3%
2007-02-01 09:30:00,USD,High Impact Expected,Core PCE Price Index m/m,0.1%,0.2%,0.0%
2007-02-01 09:30:00,USD,Medium Impact Expected,Personal Spending m/m,0.7%,0.7%,0.5%
2007-02-01 09:30:00,USD,Low Impact Expected,Personal Income m/m,0.5%,0.5%,0.3%
2007-02-01 09:30:00,USD,Low Impact Expected,Unemployment Claims,307K,315K,327K
2007-02-01 11:00:00,USD,High Impact Expected,ISM Manufacturing PMI,49.3,51.6,51.4
2007-02-01 11:00:00,USD,High Impact Expected,Pending Home Sales m/m,4.9%,2.2%,-0.3%
2007-02-01 11:00:00,USD,Low Impact Expected,ISM Manufacturing Prices,53.0,47.2,47.5
2007-02-01 11:30:00,USD,Low Impact Expected,Natural Gas Storage,-186B,-201B,-179B
2007-02-01 00:00:00,USD,Low Impact Expected,Total Vehicle Sales,16.6M,16.6M,16.7M
2007-02-01 12:30:00,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
2007-02-01 17:45:00,NZD,Low Impact Expected,Visitor Arrivals m/m,-1.3%,,0.5%
2007-02-01 19:50:00,JPY,Low Impact Expected,Monetary Base y/y,-21.1%,-20.0%,-20.0%
2007-02-01 20:30:00,AUD,Medium Impact Expected,Trade Balance,-1.34B,-1.05B,-0.90
2007-02-02 04:00:00,EUR,Low Impact Expected,Spanish Unemployment Change,59.6K,,-0.3K
2007-02-02 05:00:00,CHF,Medium Impact Expected,SNB Chairman Roth Speaks,,,
2007-02-02 05:30:00,GBP,Low Impact Expected,Construction PMI,57.9,57.0,57.5
2007-02-02 06:00:00,EUR,Low Impact Expected,PPI m/m,0.0%,0.0%,0.0%
2007-02-02 09:30:00,USD,High Impact Expected,Non-Farm Employment Change,111K,146K,206K
